Year,CBSA,CBSA Name,Composite,Rank,Score
2009-2014,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Inclusion,37,0.487143785
2009-2014,33340,"Milwaukee-Waukesha-West Allis, WI",Inclusion,40,0.444102317
2009-2014,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Inclusion,24,1.132287264
2009-2014,34980,"Nashville-Davidson-Murfreesboro-Franklin, TN",Inclusion,73,-1.215065598
2009-2014,35300,"New Haven-Milford, CT",Inclusion,82,-1.580774188
2009-2014,35380,"New Orleans-Metairie, LA",Inclusion,28,0.922467053
2009-2014,35620,"New York-Newark-Jersey City, NY-NJ-PA",Inclusion,52,-0.296938479
2009-2014,35840,"North Port-Sarasota-Bradenton, FL",Inclusion,10,3.030615568
2009-2014,36260,"Ogden-Clearfield, UT",Inclusion,17,1.740323901
2009-2014,36420,"Oklahoma City, OK",Inclusion,18,1.661731958
2009-2014,36540,"Omaha-Council Bluffs, NE-IA",Inclusion,47,0.130765378
2009-2014,36740,"Orlando-Kissimmee-Sanford, FL",Inclusion,67,-0.963026941
2009-2014,37100,"Oxnard-Thousand Oaks-Ventura, CA",Inclusion,61,-0.740815639
2009-2014,37340,"Palm Bay-Melbourne-Titusville, FL",Inclusion,91,-2.116833925
2009-2014,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Inclusion,68,-1.025879979
2009-2014,38060,"Phoenix-Mesa-Scottsdale, AZ",Inclusion,87,-1.905927062
2009-2014,38300,"Pittsburgh, PA",Inclusion,25,1.083605647
2009-2014,38900,"Portland-Vancouver-Hillsboro, OR-WA",Inclusion,34,0.665198386
2009-2014,39300,"Providence-Warwick, RI-MA",Inclusion,48,-0.067356467
2009-2014,39340,"Provo-Orem, UT",Inclusion,11,2.921988726
2009-2014,39580,"Raleigh, NC",Inclusion,83,-1.65656662
2009-2014,40060,"Richmond, VA",Inclusion,51,-0.275327981
2009-2014,40140,"Riverside-San Bernardino-Ontario, CA",Inclusion,90,-2.02833724
2009-2014,40380,"Rochester, NY",Inclusion,26,1.028819561
2009-2014,40900,"Sacramento-Roseville-Arden-Arcade, CA",Inclusion,84,-1.769030809
2009-2014,41180,"St. Louis, MO-IL",Inclusion,66,-0.876340032
2009-2014,41620,"Salt Lake City, UT",Inclusion,23,1.158423424
2009-2014,41700,"San Antonio-New Braunfels, TX",Inclusion,22,1.447186232
2009-2014,41740,"San Diego-Carlsbad, CA",Inclusion,57,-0.517612815
2009-2014,41860,"San Francisco-Oakland-Hayward, CA",Inclusion,49,-0.143667459
2009-2014,41940,"San Jose-Sunnyvale-Santa Clara, CA",Inclusion,3,3.680760145
2009-2014,42540,"Scranton-Wilkes-Barre-Hazleton, PA",Inclusion,38,0.469353855
2009-2014,42660,"Seattle-Tacoma-Bellevue, WA",Inclusion,30,0.840996742
2009-2014,44060,"Spokane-Spokane Valley, WA",Inclusion,89,-1.926141977
2009-2014,44140,"Springfield, MA",Inclusion,2,5.382490158
2009-2014,44700,"Stockton-Lodi, CA",Inclusion,80,-1.504323959
2009-2014,45060,"Syracuse, NY",Inclusion,86,-1.886731863
2009-2014,45300,"Tampa-St. Petersburg-Clearwater, FL",Inclusion,31,0.797867358
2009-2014,45780,"Toledo, OH",Inclusion,9,3.148529291
2009-2014,46060,"Tucson, AZ",Inclusion,56,-0.495411754
2009-2014,46140,"Tulsa, OK",Inclusion,1,5.569465637
2009-2014,46520,"Urban Honolulu, HI",Inclusion,53,-0.309051007
2009-2014,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Inclusion,78,-1.358553886
2009-2014,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Inclusion,72,-1.128131747
