Year,CBSA,CBSA Name,Composite,Rank,Score
2009-2014,32820,"Memphis, TN-MS-AR",Race,15,1.58610177
2009-2014,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Race,76,-0.622261226
2009-2014,33340,"Milwaukee-Waukesha-West Allis, WI",Race,46,0.525958776
2009-2014,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Race,30,0.990238428
2009-2014,34980,"Nashville-Davidson-Murfreesboro-Franklin, TN",Race,41,0.725926399
2009-2014,35300,"New Haven-Milford, CT",Race,59,0.125035718
2009-2014,35380,"New Orleans-Metairie, LA",Race,57,0.161668748
2009-2014,35620,"New York-Newark-Jersey City, NY-NJ-PA",Race,63,0.032210052
2009-2014,35840,"North Port-Sarasota-Bradenton, FL",Race,8,1.828316331
2009-2014,36260,"Ogden-Clearfield, UT",Race,67,-0.027469635
2009-2014,36420,"Oklahoma City, OK",Race,35,0.895890415
2009-2014,36540,"Omaha-Council Bluffs, NE-IA",Race,71,-0.299152851
2009-2014,36740,"Orlando-Kissimmee-Sanford, FL",Race,47,0.505521417
2009-2014,37100,"Oxnard-Thousand Oaks-Ventura, CA",Race,10,1.746661663
2009-2014,37340,"Palm Bay-Melbourne-Titusville, FL",Race,19,1.249864101
2009-2014,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Race,36,0.79020524
2009-2014,38060,"Phoenix-Mesa-Scottsdale, AZ",Race,53,0.361767262
2009-2014,38300,"Pittsburgh, PA",Race,78,-0.701137125
2009-2014,38900,"Portland-Vancouver-Hillsboro, OR-WA",Race,87,-1.483345747
2009-2014,39300,"Providence-Warwick, RI-MA",Race,49,0.470932961
2009-2014,39340,"Provo-Orem, UT",Race,61,0.064987659
2009-2014,39580,"Raleigh, NC",Race,66,-0.017265633
2009-2014,40060,"Richmond, VA",Race,72,-0.390927851
2009-2014,40140,"Riverside-San Bernardino-Ontario, CA",Race,26,1.080169082
2009-2014,40380,"Rochester, NY",Race,22,1.185278058
2009-2014,40900,"Sacramento-Roseville-Arden-Arcade, CA",Race,37,0.747080505
2009-2014,41180,"St. Louis, MO-IL",Race,64,0.01847142
2009-2014,41620,"Salt Lake City, UT",Race,5,2.066749811
2009-2014,41700,"San Antonio-New Braunfels, TX",Race,24,1.125401974
2009-2014,41740,"San Diego-Carlsbad, CA",Race,40,0.729516685
2009-2014,41860,"San Francisco-Oakland-Hayward, CA",Race,79,-0.720614791
2009-2014,41940,"San Jose-Sunnyvale-Santa Clara, CA",Race,60,0.079829529
2009-2014,42540,"Scranton-Wilkes-Barre-Hazleton, PA",Race,25,1.102910638
2009-2014,42660,"Seattle-Tacoma-Bellevue, WA",Race,62,0.045804471
2009-2014,44060,"Spokane-Spokane Valley, WA",Race,97,-4.757130146
2009-2014,44140,"Springfield, MA",Race,83,-1.055786967
2009-2014,44700,"Stockton-Lodi, CA",Race,38,0.745882094
2009-2014,45060,"Syracuse, NY",Race,85,-1.179774046
2009-2014,45300,"Tampa-St. Petersburg-Clearwater, FL",Race,55,0.27268818
2009-2014,45780,"Toledo, OH",Race,23,1.161880732
2009-2014,46060,"Tucson, AZ",Race,32,0.943518877
2009-2014,46140,"Tulsa, OK",Race,20,1.243437171
2009-2014,46520,"Urban Honolulu, HI",Race,33,0.927114248
2009-2014,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Race,69,-0.253590018
2009-2014,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Race,77,-0.670885324
2009-2014,48620,"Wichita, KS",Race,31,0.982354045
2009-2014,49180,"Winston-Salem, NC",Race,54,0.302547038
2009-2014,49340,"Worcester, MA-CT",Race,88,-1.856077671
2009-2014,49660,"Youngstown-Warren-Boardman, OH-PA",Race,90,-1.972836375
2013-2014,10420,"Akron, OH",Race,85,-1.488441467
2013-2014,10580,"Albany-Schenectady-Troy, NY",Race,26,1.274278641
2013-2014,10740,"Albuquerque, NM",Race,46,0.597062349
2013-2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",Race,69,-0.592583179
2013-2014,12060,"Atlanta-Sandy Springs-Roswell, GA",Race,14,1.767709613
2013-2014,12260,"Augusta-Richmond County, GA-SC",Race,63,0.011188924
