year,CBSA,CBSA_name,rank,score
2009-2014,19100,Dallas-Fort Worth-Arlington; TX Metropolitan Statistical Area,7,4.5553498242
2009-2014,19380,Dayton; OH Metropolitan Statistical Area,79,-2.317573504
2009-2014,19660,Deltona-Daytona Beach-Ormond Beach; FL Metropolitan Statistical Area,87,-2.514069982
2009-2014,19740,Denver-Aurora-Lakewood; CO Metropolitan Statistical Area,14,2.9158733066
2009-2014,19780,Des Moines-West Des Moines; IA Metropolitan Statistical Area,23,1.859582074
2009-2014,19820,Detroit-Warren-Dearborn; MI Metropolitan Statistical Area,22,2.2221404153
2009-2014,21340,El Paso; TX Metropolitan Statistical Area,24,1.686141097
2009-2014,23420,Fresno; CA Metropolitan Statistical Area,69,-1.879422425
2009-2014,24340,Grand Rapids-Wyoming; MI Metropolitan Statistical Area,6,4.7738989659
2009-2014,24660,Greensboro-High Point; NC Metropolitan Statistical Area,92,-2.806880263
2009-2014,24860,Greenville-Anderson-Mauldin; SC Metropolitan Statistical Area,27,1.4216435248
2009-2014,25420,Harrisburg-Carlisle; PA Metropolitan Statistical Area,88,-2.519081362
2009-2014,25540,Hartford-West Hartford-East Hartford; CT Metropolitan Statistical Area,89,-2.532653058
2009-2014,26420,Houston-The Woodlands-Sugar Land; TX Metropolitan Statistical Area,3,6.7425788032
2009-2014,26900,Indianapolis-Carmel-Anderson; IN Metropolitan Statistical Area,40,0.168012148
2009-2014,27140,Jackson; MS Metropolitan Statistical Area,81,-2.373264242
2009-2014,27260,Jacksonville; FL Metropolitan Statistical Area,53,-0.80891868
2009-2014,28140,Kansas City; MO-KS Metropolitan Statistical Area,62,-1.121087677
2009-2014,28940,Knoxville; TN Metropolitan Statistical Area,55,-0.83414427
2009-2014,29460,Lakeland-Winter Haven; FL Metropolitan Statistical Area,96,-3.689633108
2009-2014,29820,Las Vegas-Henderson-Paradise; NV Metropolitan Statistical Area,86,-2.49759636
2009-2014,30780,Little Rock-North Little Rock-Conway; AR Metropolitan Statistical Area,75,-2.092656268
2009-2014,31080,Los Angeles-Long Beach-Anaheim; CA Metropolitan Statistical Area,39,0.1796843335
2009-2014,31140,Louisville/Jefferson County; KY-IN Metropolitan Statistical Area,33,0.818881837
2009-2014,31540,Madison; WI Metropolitan Statistical Area,28,1.2995026605
2009-2014,32580,McAllen-Edinburg-Mission; TX Metropolitan Statistical Area,18,2.6606904002
2009-2014,32820,Memphis; TN-MS-AR Metropolitan Statistical Area,93,-3.050233098
2009-2014,33100,Miami-Fort Lauderdale-West Palm Beach; FL Metropolitan Statistical Area,35,0.6294298174
2009-2014,33340,Milwaukee-Waukesha-West Allis; WI Metropolitan Statistical Area,68,-1.731357854
2009-2014,33460,Minneapolis-St. Paul-Bloomington; MN-WI Metropolitan Statistical Area,29,1.1714757626
2009-2014,34980,Nashville-Davidson--Murfreesboro--Franklin; TN Metropolitan Statistical Area,5,5.9679791562
2009-2014,35300,New Haven-Milford; CT Metropolitan Statistical Area,83,-2.444060311
2009-2014,35380,New Orleans-Metairie; LA Metropolitan Statistical Area,78,-2.262195082
2009-2014,35620,New York-Newark-Jersey City; NY-NJ-PA Metropolitan Statistical Area,37,0.452814957
2009-2014,35840,North Port-Sarasota-Bradenton; FL Metropolitan Statistical Area,34,0.6369679774
2009-2014,36260,Ogden-Clearfield; UT Metropolitan Statistical Area,38,0.3264100371
2009-2014,36420,Oklahoma City; OK Metropolitan Statistical Area,17,2.7277147581
2009-2014,36540,Omaha-Council Bluffs; NE-IA Metropolitan Statistical Area,44,-0.108477985
2009-2014,36740,Orlando-Kissimmee-Sanford; FL Metropolitan Statistical Area,25,1.4854240713
2009-2014,37100,Oxnard-Thousand Oaks-Ventura; CA Metropolitan Statistical Area,57,-0.912105507
2009-2014,37340,Palm Bay-Melbourne-Titusville; FL Metropolitan Statistical Area,100,-5.192071318
2009-2014,37980,Philadelphia-Camden-Wilmington; PA-NJ-DE-MD Metropolitan Statistical Area,82,-2.389725175
2009-2014,38060,Phoenix-Mesa-Scottsdale; AZ Metropolitan Statistical Area,41,0.0624072595
