"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA4","45","...","Equals: Net earnings by place of residence",1212424,1343509,1497771,1719334,1897985,2093167,2335165,2662834,3014111,3497255,3947206,4304895,4684421,4982698,5456448,6063744,6619440,7043162,7509085,7956919,8453189,9032275,9683316,10503862,11414335,12336791,13225324,13695300,14453909,15426297,16133480,17923812,19430408,20385290,20959900,21942412,23078885,24343657,25040584,25606785,24967999,25076018,25975185,26458486,26103396
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA4","46","...","Plus: Dividends, interest, and rent 7/",248789,293120,335165,380260,424855,494353,552741,612679,684281,809894,929848,1115385,1371162,1639172,1775452,2001118,2245420,2412374,2514899,2640782,2801600,3064166,3188132,3312938,3514312,3881486,4275452,4615772,4899181,5151195,5060455,5368065,5603066,5300081,5300237,5628962,6402504,7100243,7681073,7857710,7052072,6935506,7716566,8416646,8581167
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA4","47","...","Plus: Personal current transfer receipts",129982,164446,188974,209770,248070,298759,372777,415920,434097,473027,545895,659070,754777,826547,887336,959874,1034206,1111509,1187090,1277514,1431548,1564663,1750461,1941930,2109129,2232465,2456045,2680456,2756858,2831922,3026893,3236329,3623124,3983569,4284491,4596420,4977926,5470377,5952139,6684124,7630495,8197750,8371377,8477223,8628319
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA4","50","...","Wages and salaries",1020896,1127626,1254725,1436858,1597225,1751346,1934050,2203223,2481632,2869166,3258538,3591376,3970381,4261377,4679428,5169305,5641877,6012290,6418309,6780292,7139662,7652020,8136776,8724725,9435729,10312864,11134431,11556776,12228617,12997365,13554568,14610265,15457839,16095998,16850109,17788756,18792947,20036737,20960039,21573176,21128506,21043216,21277599,21629893,21719745
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA4","60","...","Supplements to wages and salaries",133691,151565,183326,219351,247144,278183,318546,364289,415574,483003,563386,626578,708612,775977,884387,999532,1119106,1213128,1259013,1407215,1560050,1736747,1879140,2151095,2310524,2500420,2622429,2666802,2757977,2903421,2993465,3247060,3380862,3680165,3981345,4283443,4626262,4763047,4946285,5105389,5032457,5228225,5451997,5600061,5469756
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",94137,107890,131602,155984,166274,187098,218233,245746,280065,320255,370678,416395,462804,509787,582863,647560,737063,803475,831187,937263,1062877,1167545,1265341,1486309,1592194,1702436,1769115,1781760,1828248,1922483,1978747,2161200,2236651,2476383,2719495,2977510,3253781,3278016,3407562,3495466,3437105,3606043,3780544,3901973,3748777
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA4","62","...","  Employer contributions for government social insurance",39554,43675,51724,63367,80870,91085,100313,118543,135509,162748,192708,210183,245808,266190,301524,351972,382043,409653,427826,469952,497173,569202,613799,664786,718330,797984,853314,885042,929729,980938,1014718,1085860,1144211,1203782,1261850,1305933,1372481,1485031,1538723,1609923,1595352,1622182,1671453,1698088,1720979
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA4","70","...","Proprietors' income 9/",122749,136925,145889,168140,190517,212624,234480,260471,296214,353342,369577,372554,373092,370818,410473,500536,548669,575237,639469,676039,729115,764823,888633,948055,1109347,1132963,1207228,1275363,1364129,1535932,1686710,2315790,2984928,3115612,2755618,2615350,2558878,2688716,2412451,2317828,2170144,2184482,2317940,2340547,2473765
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA4","71","...","  Farm proprietors' income",8216,10044,8284,9741,13222,12036,10550,6843,8719,18415,23337,23861,18151,18018,7440,17032,17686,13694,12879,23791,30979,28026,31985,22511,26721,14065,-1234,6936,15709,16046,31003,31851,45002,13729,32599,54748,42245,20739,36146,40520,22132,50846,103746,110800,111122
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA4","72","...","  Nonfarm proprietors' income",114533,126881,137605,158399,177295,200588,223930,253628,287495,334927,346240,348693,354941,352800,403033,483504,530983,561543,626590,652248,698136,736797,856648,925544,1082626,1118898,1208462,1268427,1348420,1519886,1655707,2283939,2939926,3101883,2723019,2560602,2516633,2667977,2376305,2277308,2148012,2133636,2214194,2229747,2362643
