"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"09001","Fairfield, CT ","1","CA4","11","...","  Nonfarm personal income 1/",4595410,4863105,5102814,5485777,5879432,6350751,6814724,7446233,8288852,9314922,10530096,12118173,13774888,14886926,15787176,17773978,19148500,20535222,22426277,25108411,27285099,27934176,28058516,31487052,32412438,33086433,35855211,38344332,41200122,45320486,47826190,52367296,54270716,52766852,52727472,57577861,61349135,67414398,70578866,69930776,64202255,68014163,73001945,76306346,77060222
"09001","Fairfield, CT ","1","CA4","12","...","  Farm income 2/",3735,3626,3612,3585,4168,3944,3587,2932,3161,3142,2741,2528,2019,2976,2320,2756,2495,2840,2938,2484,1872,2891,3685,5694,8218,9335,10120,4902,4378,6646,9923,11192,11530,11390,11085,12272,14526,15705,19069,18841,18535,19151,19132,19439,20005
"09001","Fairfield, CT ","1","CA4","20","...","Population (persons) 3/",780867,792934,792758,788034,786524,788324,794554,797444,810423,802642,802656,808703,813186,817943,821854,825107,830396,831797,828277,826605,827517,828860,833094,834372,838945,842482,848057,854421,861020,868651,877043,884364,889063,892900,896342,897472,897653,896254,897498,903824,910421,919365,927744,933733,939904
"09001","Fairfield, CT ","1","CA4","30","...","Per capita personal income (dollars) 4/",5890,6138,6441,6966,7481,8061,8581,9341,10232,11609,13122,14988,16942,18204,19212,21545,23062,24691,27079,30378,32975,33705,33684,37744,38645,39284,42291,44883,47855,52181,54542,59227,61056,59109,58838,64169,68360,75235,78661,77393,70540,74000,78708,81743,82009
"09001","Fairfield, CT ","1","CA4","35","...","Earnings by place of work",2993547,3156363,3260996,3548359,3923758,4242222,4477514,4982811,5655974,6440921,7310892,8300632,9260317,9931733,10618703,12039583,13153613,14298095,15834152,17762735,18571712,19209793,19512969,21094374,22216303,22964207,24782163,26386144,29351535,31660060,34120091,37812791,40134065,39142913,39734917,42134033,43958409,46832462,49098786,49119733,46831471,48745082,51282030,53044014,53560994
"09001","Fairfield, CT ","1","CA4","36","...","Less: Contributions for government social insurance 5/",199821,208962,223363,258000,330354,374258,386283,437127,498579,585428,692806,789350,949492,1048044,1128848,1308932,1448341,1579604,1717306,1932961,2015088,2057995,2126995,2232532,2333813,2452080,2636561,2785708,3007277,3184333,3372305,3622348,3712498,3779167,3857283,4043397,4175387,4370936,4596838,4703693,4504087,4586297,4235365,4345712,5101216
"09001","Fairfield, CT ","1","CA4","37","...","  Employee and self-employed contributions for government social insurance",97632,103027,110418,124859,158641,181388,189438,207130,233373,269397,322641,374678,455085,503562,537036,608564,697144,766896,852024,970737,1024730,1053635,1098403,1159131,1209175,1265805,1382855,1469575,1608437,1712953,1835241,1983750,2063953,2051564,2092192,2206093,2315728,2465765,2594517,2667169,2526760,2588001,2139238,2180107,2902008
"09001","Fairfield, CT ","1","CA4","38","...","  Employer contributions for government social insurance",102189,105935,112945,133141,171713,192870,196845,229997,265206,316031,370165,414672,494407,544482,591812,700368,751197,812708,865282,962224,990358,1004360,1028592,1073401,1124638,1186275,1253706,1316133,1398840,1471380,1537064,1638598,1648545,1727603,1765091,1837304,1859659,1905171,2002321,2036524,1977327,1998296,2096127,2165605,2199208
"09001","Fairfield, CT ","1","CA4","42","...","Plus: Adjustment for residence 6/",682905,669820,684667,708383,704072,724284,782427,818255,880326,975241,1092550,1244916,1362438,1448019,1562163,1666068,1850358,1889598,2009131,2181177,2200988,1820255,1798547,2930508,2293118,2040991,2602533,3173215,2491458,3690774,3379682,3230598,2493663,2236747,1867602,2154209,2011168,2066620,1985726,1657583,436780,1438002,775159,1843890,2559190
"09001","Fairfield, CT ","1","CA4","45","...","Equals: Net earnings by place of residence",3476631,3617221,3722300,3998742,4297476,4592248,4873658,5363939,6037721,6830734,7710636,8756198,9673263,10331708,11052018,12396719,13555630,14608089,16125977,18010951,18757612,18972053,19184521,21792350,22175608,22553118,24748135,26773651,28835716,32166501,34127468,37421041,38915230,37600493,37745236,40244845,41794190,44528146,46487674,46073623,42764164,45596787,47821824,50542192,51018968
